Owner name,Agency name,Email,Address,Telephone,Telephone 2,Thumbnail image URL
"Mr. Mohammed Anisur Rahman, Proprietor",Natasha Travels,skyshiplu@gmail.com,"1/A, Senpara Parbota, Shah Ali Plaza, Room # 1206, (11th Floor), Mirpur- 10, (Round Circle), Dhaka -1216.",['01708527850'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1009/OwnerPhoto_4213.jpg
"Mr. HM Abdul Kader, Managing Director",Muslim Hajj Tours & Travels Ltd.,muslim.travels@yahoo.com,"24/A, Dr. Nawab Ali Tower (5th Floor)   Purana Paltan",+8801713683898, 01711451492,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1010/OwnerPhoto_Muslim Hajj Tours & Travels Ltd..jpg
"Mr. M. Ehsanul Karim, Proprietor",Touriffy Travels,ehsan@touriffy.com,"House # 282/A, Road # 19/C, Mohakhali, DOHS,",['01711626262'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1011/OwnerPhoto_3043.jpg
"Alhaj Mohammed Idris Miah, Proprietor",Imshita Travels & Tours,imshitatravel@yahoo.com,"Sharif Market (1st Floor) 118,Hasmat Ali Muncef Lane,",01819298262, 0168453779,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Ahmedur Rahman, Proprietor",Mahbub Travels & Tours,abusyeed20@gmail.com,"476/B, DIT Road, Malibagh",01819-212004, 01715009096,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1013/OwnerPhoto_850.png
"Mr. Abu Sayam Khaled, Proprietor",Masud Travels & Tours,mttdhaka@gmail.com,"Suite # E-101(1st Floor), Dr. Nawab Ali Tower  24, Purana Paltan",['01616001111'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1014/OwnerPhoto_3535.jpg
"Mr. Md. Nazrul Islam, Proprietor",Zannat Travels & Tours,zannattravel@gmail.com,"Halima Shoping Tower (2nd Floor), Chittagong Road, Siddirgonj, Narayangonj.",['01915205822'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1015/OwnerPhoto_Zajjant286.jpg
"Mr.Abdul Bari, Proprietor",Hazi Hafez Travels & Tours,ali_sharafat18@yahoo.com,"259/Ka, S.A. Khalek Plaza, Gabtoli Darusalam, Dhaka-1216",['01716605557'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1016/OwnerPhoto_Hazi Hafez Travels & Tours.png
"Mr.Md Kamal Uddin Bhoiyan, Proprietor",Al-kamal Travels International,alkamaltravels@gmail.com,"Madina Mansion House # 7/A Road # 1(Lane-6),Block-A Halishahar,Chittagong.",['01741328971'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1017/OwnerPhoto_Al-kamal Travels International.jpg
"Mr.Mohammad Faruk Hossain, Partner",Magpie Tours & Travels,magpietours@gmail.com,"Dr. Halim Palace (2 nd Floor), 60/2, Naya Paltan",['01841 533554'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1018/OwnerPhoto_3762.jpg
"Mr. Md. Altab Hosain Khan, Proprietor",Alif Air Tours & Travels,altab.khan@yahoo.com,"78/E, Purana Paltan (Ground Floor), Bijoy Nagar, Dhaka",01911 448086, 01731 587386,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1019/OwnerPhoto_Alif Air Tours & Travels.png
"Mr. Mowlana Azizur Rahman(Bulbuli), Proprietor",Bulbuli Hajj Travels,bulbuli.travels7@gmail.com,"Monsur Ali Super Market(2nd Floor), Board Bazar, Gazipur.",01711704385, 01727704885,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1020/OwnerPhoto_Bulbuli hajj161.jpg
"Alhaj Mul. Mohammad Ismail, Proprietor",New Macca Madina Hajj Kafela Travels & Tours,macca_madinahajjkafela@hotmail.com,"524, Jan Super Market, D.T. Road, Kadamtali",['0178168876'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1021/OwnerPhoto_3265.jpg
"Mr. Alhaj Mohammed Hossain, Proprietor",Arab Travels & Tours,arabhaj_ctg@yahoo.com,"880, DT Road, Pahartali, Chittagong.",01554631865, 01746562543,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1022/OwnerPhoto_Arab Travel & Tours 182.jpg
"Mr. Mohd. Zakir Hossain, Proprietor",Mitali Air Travels,mitali.carpet@gmail.com,"paradogair, modhubagh, Jatrabari",['01916747401'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1023/OwnerPhoto_3779.jpg
"Lion Mojahidul Islam, Managing Director",Sabalia Travels Ltd.,mojahid.stl@gmail.com,"Mymensingh Road, Sabalia, Tangail",['01816176905'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1024/OwnerPhoto_Sabalia Travels Ltd..png
"Mr. Alhaj Harunor Rashid, Proprietor",Hayat International Travels & Tours,hayatctg@gmail.com,"11/12 Royal Plaza C.D.A Market Jubilee Road, Amtala Mor, Riazuddin Bazar, Kotwali Chittagong",['01713112839'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1025/OwnerPhoto_H INT293.jpg
"Mr.Hayatun Nobi Mazumder, Proprietor",Nowshad Travels & Tours,nowshadtravel1090@gmail.com,"Ali Mansion (1st Floor), Paduar Bazar, Biswa Road",['01818-612002'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1026/OwnerPhoto_1450.png
"Mr. Atikur Rahman, Proprietor",Salina Nur Travels & Tours,salinanurtravelsandtours@gmail.com,"292, Inner Circular Road, Fakirapool, Shatabdi Center, Room No. F-3(2nd Floor), Motijheel",['01720553974'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1027/OwnerPhoto_Salina Nur Travels & Tours.jpg
"Mr. Mohammad Khaled Khan , Proprietor",Sadique Asor Travels & Tours,aviationasor@gmail.com,"Globe Chamber , 4th Floor, 104, Motijheel,",01733899353, 01796500170,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1028/OwnerPhoto_sadique ashor245.jpg
"Mr.Md.Helal Uddin, Proprietor",Nilmoy Travels & Tours,helal.u33@yahoo.com,"24, Shahid Sanbadik Salina Parbin Road, Century Arcade (2nd FL), Dhaka",['01711545068'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1029/OwnerPhoto_1476.png
"Mr. Md. Neamotullah, Proprietor",Makame Ibrahim Travels & Tours,makameibrahim2020@gmail.com,"Aliza Tower (4th Floor), 110, Fakirapool, Motijheel,",01712093774, 01612093774,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1030/OwnerPhoto_853.png
"Alhaj Habibul Islam (Apu), Partner",North Bengal Hajj Travels & Tours,rashid.harunur65@yahoo.com,"Rashid Mansion, Dh-3, RK Road, Khalil Ganj, Kurigram",['01715137729'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1031/OwnerPhoto_1461.png
"Mr. Md. Nurul Islam, Managing Partner",Easy Tours & Travels,easy.travelstour@gmail.com,"B N Tower (7th Floor), 28/1/B,Toyenbee Circular Road",['01911457376'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1032/OwnerPhoto_IMG_20190110_0001.jpg
"Rozina Khatun, Proprietor",Rozina Air Travels,rozinaet@yahoo.com,"S. K. Manan Tower, Level # 4, Flat # C403 (5th Floor), Cheragali, Tongi, Gazipur.",['01733944998'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1033/OwnerPhoto_Rozina Air Travels.png
"Mr. Md. Shahidul Haque, Proprietor",Safwan Travels & Tours,Safwan.travels1148@gmail.com,"Suit # W-701 (7th Floor), Dr. Nawab Ali Tower, 24, Purana Paltan, Dhaka-1000",01611111112, 01831373737,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1034/OwnerPhoto_Safwan Travels & Tours.jpg
"Mr. NISAR UDDIN AHMED, PARTNER",Jetlia Travels,jetliatravels@gmail.com,"Advanced Technohaven Tower (4th Floor), House-03, Road-02 (Sadek Hossain Khoka Road),",+8801311209099, 01711055617,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Alhaj Mowlana Qari Mohammad Habibullah Belali , Chairman",Masud Travels Ltd.,masudtravels91@yahoo.com,"G-nat Tower (3rd Floor, Suite G-3/8)  116/117, DIT Extension Road  Fakirapoo",01714 005904,01839 925200,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1036/OwnerPhoto_img891.jpg
"Mr. Md. Mohiuddi (Moyen), Proprietor",Al-Zahid Air Travels,alzahidat@yahoo.com,"2/1, Kiron Shoping Complex Karimpur Road Chaumuhani, Noakhali",01817530744, 01813051990,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1037/OwnerPhoto_Al-Zahid Air Travels.png
"Mr. Md. Firoz Hossain, Proprietor",Alif Tours & Travels,firozhossain98@yahoo.com,"Islam Tower (5th Floor, Suite # F-4) 65, Naya Paltan, Dhaka-1000.",01716 003304, 01916 814516,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1038/OwnerPhoto_Alif Tours & Travels.png
"Mr. Shakhawat Hossain Mazumder, Proprietor",Manama Travels & Tours,shakhawat772@gmail.com,"GPJA-41 Road # 01, Mohakhali,",01753989709, 01611535371,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1039/OwnerPhoto_862.png
"Mr. Al-Hajj Jahangir Alam, Proprietor",Al-Jamee Hajj Kafela Travels & Tours,aljameehajjkafela@gmail.com,"42, Rahman Centre (2nd Floor), R.S. Road, Reazuddin Bazar, Kotwali, Chittagong",['01819388325'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1040/OwnerPhoto_Al-Jamee Hajj Kafela Travels & Tours.jpg
"Mr. Md. Nazrul Islam, Managing Partner",Ranger Travels,rangertravels@yahoo.com,"Salim Plaza (1st Floor)  227/1, Fakirapool, Dhaka-1000",['01711829581'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1041/OwnerPhoto_Ranger Travels.jpg
"Mr. Jahangir Hassan Manik, Proprietor",JHM Tourism & Travels,jhmanik@gmail.com,"71, Shahid Faruk Toslim Sarak Malibagh, Dhaka.",['01711687098'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1042/OwnerPhoto_JHM Tourism & Travels.png
"Mr.Md.Aslam Hossain, Proprietor",Makky Hajj Travels,makkyhajjtravels@gmail.com,"104, Islampur Road (Paradish Bhaban, 8th Floor), Kotwali,",['01716949893'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1043/OwnerPhoto_IMG_20190420_0001.jpg
"Md.Zahurul Islam FCA , Managing Director",ZM Tours & Travels Limited,zahur@zmtourstravel.com,"High Tower (8th Floor), 9 Mohakhali C/A, Police Station, Banani, Dhaka 1212",['01766685951'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1044/OwnerPhoto_2073.jpg
"Mr. Md. Abul Bashar Khan, Proprietor",Matuail Travels,demo-96ff68b1-c32c-4483-abc7-5fa0dc4ff907@gmail.com,"227/1, Salim Plaza (2nd Floor) Fakirapool,",['01716240872'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1045/OwnerPhoto_IMG_20190423_0001.jpg
"Mr. S.M. Kamal Hossain, Proprietor",Sharnali Travels International,alfaisal284@yahoo.com,"6 DIT Avenue (1st Floor), Motijheel C/A",['01715136485'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1046/OwnerPhoto_Sharnali Travels International.jpg
"Ms. Mahenur Begum, Manager (SKTT)",Sena Kalyan Travels & Tours,travelsntours@senakalyan.com,"SKS Tower (Ground Floor),7 VIP Road, Mohakhali, Dhaka-1206",['01700802156'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1047/OwnerPhoto_Sena Kalyan Travels & Tours.jpg
"Mr. Md. Eyanus Miah, Managing Partner",Prottasha Tours & Travels,prottashalimited@gmail.com,"Hazi Hanif Mansion (2nd Floor), Kadamtali Circle",['01711517540'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1048/OwnerPhoto_Prottasha Tours & Travels.jpg
"Mr. Md. Mozammel Haque , CEO",Sams Travels and Tours,samstravelbd@gmail.com,"Ward # 20, Holding # 41, Rani Bazar, Ghoramara, .",['01919-771616'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1049/OwnerPhoto_Shams travels 261.jpg
"Mr. Shohidul Islam Sagor, Proprietor",Bogra Tours & Travels,bogratours@gmail.com,"70/B, DIT Road (2nd Floor) Malibagh Chowdhury Para, Dhaka-1219",01913133387, 01670184940,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1050/OwnerPhoto_Bogra Tours & Travels.jpg
"Mr. Md. Julfikar Ali Kamrul, Proprietor",Alliance Tours & Travels,alliance36bd@gmail.com,"H.M Siddique Mansion (5 th floor), 55/A,","['01817722921', '01820904090', ' 01931036840']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mrs.Farjana Rabbi Bubli, Proprietor",Fulchuri Travels & Tours,khushibubli@yahoo.co.uk,"Upzilla Road, Kalirbazar, Fulchuri,Gaibanda.",['01718641750'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1052/OwnerPhoto_Owner Pic.jpg
"Mr. Obaydul Islam (Juwel Khan), Proprietor",Front Line Travels and Tours,frontlinett@yahoo.com,"New Eden Market (1st Floor), 10/3/3, Toyenbee Circular Road, Motijheel C/A,",['01720104342'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1053/OwnerPhoto_front line-1.jpg
"Mr. Shafiqure Rahman Siddique, Proprietor",Moteia Travels,moteia_th.agency@yahoo.com,"H-69, Sheikh Kamal Villa   Amtoli Airport Road, Mohakhali",['01716192232'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1054/OwnerPhoto_942.png
"Mr.Habibullah, Proprietor",Mokbul Air Travels,demo-b486ae7b-92fe-427a-b6e2-ae47e83db23e@gmail.com,"24/A, Dr Nawab Ali Tower, Purana Paltan",['01715459281'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1055/OwnerPhoto_IMG_20190423_0001.jpg
"Mr. Md. Nurul Islam, Partner",Southeast Travels,primeoverseas595@gmail.com,"149/A, DIT Extention Road, Dhaka-1000.",['01711568224'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1056/OwnerPhoto_img807.jpg
"Mr. Azharul Islam, Managing Director",Kushir Tours & Travels Ltd.,kushirttl@gmail.com,"33, Kawran Bazar, Shah Ali Tower (11th Floor), Tejgaon, Dhaka-1215",['01764601129'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1057/OwnerPhoto_Kushir Tours & Travels Ltd..jpg
"MD. ALI NOOR HOSSAIN, Partner",RUPSHI TRAVELS,rupshitravels@gmail.com,"146, ANARKALI SUPER MARKET (3RD FLOOR), 77/1 SIDDESHARY ROAD, RAMNA, DHAKA.",['01919243752'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1058/OwnerPhoto_RUPSHI TRAVELS.jpg
"Mr. Mohammad Rafiqul Islam, Proprietor",Sumayah Nabid Travels,sumayahnabidtravels.bd@gmail.com,"55/B, Noakhali Tower (6th Floor), Room-7/A, Lift-6, Purana Paltan, Dhaka-1000",['01715040273'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1059/OwnerPhoto_01.jpg
"Mr. Md. Shirajul Islam, CEO",Fly BD Tours & Travels,info@flybdtours.com,"House # 38 (3rd Floor), Airport Road, Amtoli, Mohakhali, Dhaka",01616333555, 01676100141,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Ahsan Ullah Sajib, Partner",R S Tours & Travels,rstourstravels16@gmail.com,"Kitab Ali Plaza (Level 2), Mawna Chowrasta, Sreepur, Gazipur",[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1061/OwnerPhoto_2449.jpg
"Mohammed Zaher, CEO",Oxford International Travels & Tours,oxfordtravels2016@gmail.com,"11/13, Paragon City (2nd Floor), Nabab Sirajuddolla Road, Anderkilla, Kotwali",01779123456, 01914420580,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Badruzzaman Khan Pathan Uzzal, CEO",Holiday Club Tours & Travels,info@holidayclubtours.com.bd,"402/3 (2nd Floor), Mokshed Ali Mansion, New Eskaton Road, Dhaka - 1000",['01613355501-11'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Al- haj Md. Shahidullah, Proprietor",Mohammadi Tours & Travels,mohammadi-tourstravels@yahoo.com,"599, Wali Mansion (2nd Floor), SK. Mujib Road, Agrabad,",01715014701, 018177714797,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1064/OwnerPhoto_3255.jpg
"Md. Emdad Ullah, Proprietor",Emdad Air Travels & Tours,demo-197736bc-5d04-4b46-b04b-3caeb1c26883@gmail.com,"Satabdi Center (5 th Floor), Room # 5/F, 292,",['01743428548'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1065/OwnerPhoto_owner.jpg
"Mr. Aftab Uddin, Proprietor",Sundarbon Air Travels,sundarbonairtravels@yahoo.com,"131, Kali Bari Road, Patgudam, Mymensingh",['01726466966'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1066/OwnerPhoto_Sundarbon Air Travels.jpg
"Kazi Md. Shariful Haque, Proprietor",SunFlower Travels,sunflowertravels1065@gmail.com,"12, A.B Guho Road, Gunginarpar,",['01681705929'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1067/OwnerPhoto_sunflower travels 211.jpg
"Mokhlesur Rahman, Proprietor",Jams Tours & Travels,jamstravels668@gmail.com,"H-43 (1st Floor), New Airport Road, Amtoli, Mohakhali, Dhaka",['01711532351'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1068/OwnerPhoto_2293.jpg
"Md. Abdul Quddus, Proprietor",Tazkia Tours And Travels,quddus1219@gmail.com,"Dr. Halim Palace (2nd Floor), 60/2, G, Naya Paltan,",01833931139, 01819871729,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1069/OwnerPhoto_3396.jpg
"Delwar Hossain Ansari, Partner",Tayeba Ansari Hajj Kafela Tours & Travels,tayebaansarihajjktst@gmail.com,"2186/C, 3304 PC Road, Wapdamoor, Halishahor,",['01819804589'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1070/OwnerPhoto_TAYEBA297.jpg
"Abu Bakar Siddique, Proprietor",Taqwa Travels & Tours,taqwatravels11@gmail.com,"Noakhali Tower (4th Floor), 55/B, Purana Paltan,",01720485977, 01610485977,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1071/OwnerPhoto_2357.jpg
"Md. Fazlul Haque, Executive Partner",Delete 991,demo-0ec4db89-8a60-4ed7-9fee-d67380f80ca6@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Amir Hossain (Rouf), Proprietor",Khandaker Bonde Ali Tours and Travels,amirhossainrouf123@gmail.com,"Room-427/428 (3rd Floor),",['01711594591'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1073/OwnerPhoto_img20211215_13381765.jpg
"Mr. Nayem Khalifa, Proprietor",The Aurora Air Ticketing & Travels,nayemkhalifabd@yahoo.com,"B. N. Tower (6th Floor), Room # 1, 28/1/B, Toyenbee Circular Road, Motijheel, Dhaka-1000.",['01760253966. 01913757931'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1074/OwnerPhoto_the aurora 248.jpg
"Col. Md. Shahjahan Molla, Proprietor",All in One International,molla.shahjahan@gmail.com,"10, Taher Tower, Room# 316 (3rd Floor), Gulshan-2.",['01715400432'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1075/OwnerPhoto_All in One International.png
"Mr. Iqbal Mohammad Manik, Proprietor",Mehman Travels International,mehmantravels2020@gmail.com,"66/1, Naya Paltan (3rd Floor), Room No-3/C, Dhaka-1000.","['+8801715190301', '01322075839', '01948369180', '01615190301']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Iqbal Mohammad Manik, Proprietor",Siddique Air International,siddiqueair@gmail.com,"353, Keari Elysium Shopping mall, Parade Corner, Chowkbazar, Chittagong",01875060500, 01862323262,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1077/OwnerPhoto_Siddique Air International.jpg
"Mr. Abu Tayieb Md. Ashraf Uddin, Proprietor",All Way Travels,allwaytravels@gmail.com,"29, Toyenbee Circular Road (3rd Floor), Motijheel C/A, Dhaka 29, Toyenbee Circular Road (3rd Floor),",['01711830768'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1078/OwnerPhoto_All Way Travels.jpg
"Md. Nasir Uddin, Managing Director",Sunway Tours & Travels Ltd.,sunway5@yahoo.com,"Ally's Centre, Level-1, 186, Shahid Sayed Nazrul Islam Sarani, 40 Bijoy Nagar (old)",01977262100, 01727262100,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Golam Faruck , Proprietor",Allegro Wing Aviation,ripon_pan@yahoo.com,"Syed Grand Centre, Plot- 89, Road-28, Room- 708",['01711831034'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1080/OwnerPhoto_Allegro Wing Aviation.jpg
"Mr. Mia S. M. Amir Parvez, null",Alma Tours & Travel,almatravel@gmail.com,"638, Ashkona (Ground Floor),",01718002161, 01672380023,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1081/OwnerPhoto_Alma Tours & Travel.jpg
"Mr. Sheikh Kamrujjaman Rony, Proprietor",United Consultancy And Tours,unitedtours555@gmail.com,"Sunrise Plaza (7th Floor), 3/1, Block - A, Mirpur Road, Lalmatia, Mohammadpur, Dhaka",01842427432,01712427432,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1082/OwnerPhoto_united consultancy.jpg
"Mr. AHM Ahsan Ullah, Proprietor",Altaf Tours & Travels,altaftt@yahoo.com,"Rahmania Int’l. Complex (3 rd Floor, Suite # 12) 28/1-C, Toyenbee Circular Road",01670999996, 01767111111,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1083/OwnerPhoto_Altaf Tours & Travels.png
"Mr. M. M. Kamal, Proprietor",Altranet,into@altranetbd.com,"House # 365, Road # 28, Apt.-C-2, New DOHS",['01713007606'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1084/OwnerPhoto_Altranet.png
"Mr. Md. Mahabur Rahman, Managing, Director",Alvi Travel International Limited,alviavin@yahoo.com,Karim Chamber 99 Motijheel C/A,01552 348411, 01711 391022,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1085/OwnerPhoto_Alvi Travel International Limited.png
"Mr. Md. Khalilur Rahman, Proprietor",Alvi International (Travel Agent),alvitravelfeni@yahoo.com,"411, Super Market, Surat Mahal Building, 2nd Floor, Trunk Road, Feni",01711100520, 01843885166,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1086/OwnerPhoto_Alvi international 181.jpg
"Mr. Abu Sayeed  Md. Mizanul Islam, Proprietor",Amana Business Solution,amana.bs591@gmail.com,Madina Tower (7th Floor) 3/4,['01766692589'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1087/OwnerPhoto_amana business 272.jpg
"Mr. Md. Mizanur Rahman, Proprietor",Amar Bhai Travels & Tours,amarbhaitravelstours@gmail.com,"Habibullah Mansion( 4th Floor), 120 DIT Extension Road",01711367837, 01731393544,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1088/OwnerPhoto_Amar Bai Travels & Tours.jpg
"Mr. Md. Wasim Mahmud, Managing Partner",Amatun Air Travel Services,zahir592001@yahoo.com,"Pourashava Market (2nd Floor), Lakshmipur Sadar",01711536884, 01914282560,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1089/OwnerPhoto_Amatun Air Travel Services.jpg
"Mr. Md. Mamun Ashraphi, Proprietor& CEO",Amazing Holidays,ceo@amazing-cso.com,"Sattara Centre (12 th Floor), 30/A Nayapaltan",['01713 034454'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1090/OwnerPhoto_Amazing Holidays.jpg
"Mr.Reshad Hossain Khan, Proprietor",Amazon Holidays Travel Services,amazon.holidays@yahoo.com,"House # NE(H)-2, Road-80",['01713037116'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1091/OwnerPhoto_Amazon Holidays Travel Services.png
"Mr. Ruhul Amin, Proprietor & CEO",Amin Tours & Travels,anintours@yahoo.com,"House-02 (3rd Floor), Road#11, Sector#01, Jashimuddin Avenue,",+8801973041131, +8801713041131,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1092/OwnerPhoto_Amin Tours And Travels.jpg
"Mr.Md.Yar Hossain, Proprietor",Carnival Tours & Travels,carnivaltt2010@yahoo.com,"1/1 D.S.S Shah Road. Grdara Ghat, Amin R/A Bandar, Narayangonj",01926177306, 01914249893,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1093/OwnerPhoto_Carnival Tours & Travels.png
"Mr. Mohammad Aminul Haque, Proprietor",Amin Travels & Tours (Dhaka),aminulh7@gmail.com,"131, DIT Extension Road (Ground Floor, Hotel Bokshi West Side)","['01819 213392', ' 01714 073678', ' K.S.A.']",,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1094/OwnerPhoto_OwnerPhoto_owner.png
"Mr. Mohammad Montasur Rahman, Proprietor",U.S. Travels & Tours,ustravels@yahoo.com,"Alamin Center,25/A,Dilkusha C/A(2nd Floor),Dhaka",['01715101622'],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/UploadedFiles/Member_1095/OwnerPhoto_U.S. Travels & Tours.jpg
",",Tahamina Int’l. Travels & Tours,demo-ee4381a9-2497-4f7d-967f-fe6850cc6825@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
"Mr. Syed Zakir Hossain Babul, Proprietor",Deletr 992,demo-c6d16529-a922-4dc4-ad2f-b22320639755@gmail.com,,[''],,https://m360ict.s3.ap-south-1.amazonaws.com/uploads/
